province,month,year,month_of_year,hcl_emission,pcl_emission
内蒙古自治区,3,1962,4,11939266718.448715,24861709054.84031
北京市,3,1962,4,40185504.89723754,23782325.499339804
吉林省,3,1962,4,1640634376.55871,2064352714.0259576
四川省,3,1962,4,6797152532.385575,4816424261.874731
天津市,3,1962,4,24365264.438315425,16358565.74185301
宁夏回族自治区,3,1962,4,100610510.50914875,30971161.626723595
安徽省,3,1962,4,1861813500.2078843,1883924826.1839154
山东省,3,1962,4,3145129480.0852056,2915195399.7060194
山西省,3,1962,4,1108849519.8958182,535230629.15560925
广东省,3,1962,4,1531112218.3794267,1008205269.612197
广西壮族自治区,3,1962,4,1430887571.5087492,1420097193.9772685
新疆维吾尔自治区,3,1962,4,10308724944.016014,15529955622.916662
江苏省,3,1962,4,1506601656.9802153,1689331483.8534656
江西省,3,1962,4,879861051.0798318,627161457.7421271
河北省,3,1962,4,3326560000.6378016,2179201660.7741055
河南省,3,1962,4,2635256392.068714,1764305427.1096103
浙江省,3,1962,4,698268630.1638325,611848891.3546525
海南省,3,1962,4,67676937.26858267,135253754.77976325
湖北省,3,1962,4,1973945537.7695584,1876602417.4936652
湖南省,3,1962,4,1915401437.2155197,1077757746.768473
甘肃省,3,1962,4,2383058319.0374465,1752344437.175635
福建省,3,1962,4,373414781.1818635,180403464.63616526
西藏自治区,3,1962,4,2655181675.517114,5834917897.386961
贵州省,3,1962,4,1026224468.4211493,465255631.93639225
辽宁省,3,1962,4,1484350470.173307,1314823654.737019
重庆市,3,1962,4,456086838.41716653,316903253.94373155
陕西省,3,1962,4,1275999029.4497318,826470124.3508028
青海省,3,1962,4,671066039.1383629,536154947.80805653
香港特别行政区,3,1962,4,366300.2720464525,57057.66762646834
黑龙江省,3,1962,4,11757769238.923414,46840415014.92176
上海市,4,1962,5,14679944.08020409,7875328.722029349
云南省,4,1962,5,2139309410.5447018,1540055226.2001286
内蒙古自治区,4,1962,5,11663544343.994102,18720969192.319412
北京市,4,1962,5,39018566.86726221,21114792.06561436
吉林省,4,1962,5,1512730661.7137234,1458374307.0249987
四川省,4,1962,5,6736593528.663252,4860737073.27082
天津市,4,1962,5,24034962.288555417,15710435.425198404
宁夏回族自治区,4,1962,5,97384577.00215869,26800109.499415487
安徽省,4,1962,5,1909132896.9739888,2374221536.521567
山东省,4,1962,5,3134279498.3585,2970993367.430093
山西省,4,1962,5,1057201941.9966003,396832816.68234026
广东省,4,1962,5,1467006844.6948202,801553131.1064426
广西壮族自治区,4,1962,5,1362431258.2543192,1232060779.899299
新疆维吾尔自治区,4,1962,5,8728457756.172815,10623613461.507221
江苏省,4,1962,5,1578256627.6668584,2271298624.893149
江西省,4,1962,5,863460688.7665138,553931808.1509916
河北省,4,1962,5,3227248992.8876605,1985807470.6962795
河南省,4,1962,5,2698522142.7040424,2395480249.054193
浙江省,4,1962,5,750812775.6219853,1014772456.0736097
海南省,4,1962,5,64704397.48894967,124352944.97489119
湖北省,4,1962,5,1970708100.9990919,1950290217.3120677
湖南省,4,1962,5,1885069731.90411,959241453.0154542
